1,1,1
2,2,1
3,3,1
4,2,2
5,5,1
6,2,3
7,7,1
8,2,4
9,3,3
10,2,5
11,11,1
12,2,6
13,13,1
14,2,7
15,3,5
16,2,8
17,17,1
18,2,9
19,19,1
20,2,10
21,3,7
22,2,11
23,23,1
24,2,12
25,5,5
26,2,13
27,3,9
28,2,14
29,29,1
30,2,15
31,31,1
32,2,16
33,3,11
34,2,17
35,5,7
36,2,18
37,37,1
38,2,19
39,3,13
40,2,20
41,41,1
42,2,21
43,43,1
44,2,22
45,3,15
46,2,23
47,47,1
48,2,24
49,7,7
50,2,25
51,3,17
52,2,26
53,53,1
54,2,27
55,5,11
56,2,28
57,3,19
58,2,29
59,59,1
60,2,30
61,61,1
62,2,31
63,3,21
64,2,32
65,5,13
66,2,33
67,67,1
68,2,34
69,3,23
70,2,35
71,71,1
72,2,36
73,73,1
74,2,37
75,3,25
76,2,38
77,7,11
78,2,39
79,79,1
80,2,40
81,3,27
82,2,41
83,83,1
84,2,42
85,5,17
86,2,43
87,3,29
88,2,44
89,89,1
90,2,45
91,7,13
92,2,46
93,3,31
94,2,47
95,5,19
96,2,48
97,97,1
98,2,49
99,3,33
100,2,50
